type,adress,price,link_image
Chaussures  homme,"Colobane, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5661667_uploaded_image1_1765194718.jpg
Chaussures hommes,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5659092_uploaded_image1_1765032622.jpg
Chaussures Berluti,"Diamalaye 1, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5659090_uploaded_image1_1765032457.jpg
Chaussures  homme,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5658676_uploaded_image1_1765012272.jpg
Baskets Nike Air Max 95,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5609154_uploaded_image1_1762451266.jpg
Baskets Nike,"Parcelle Assainies, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5656286_uploaded_image1_1764873140.jpg
Chaussures homme ,"Colobane, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5656226_uploaded_image1_1764870869.jpg
Chaussures homme,"Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5654964_uploaded_image1_1764815249.jpg
Chaussures  homme,"Dakar Plateau, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5654962_uploaded_image1_1764815112.jpg
Chaussures homme,"Colobane, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5654945_uploaded_image1_1764813406.jpg
Baskets Nocta,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5653847_uploaded_image1_1764763835.jpg
Chaussures Louis Vuitton,"Colobane, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5653840_uploaded_image1_1764763564.jpg
Chaussures Friperie,"Yoff, Dakar, Sénégal",4 000CFA,https://images.coinafrique.com/thumb_5647291_uploaded_image1_1764432742.jpg
Chaussures avec chapeau ,"Grand Dakar, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5646405_uploaded_image1_1764371847.jpg
