type,adress,price,link_image
Costume pour homme,"Parcelle Assainies, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5606247_uploaded_image1_1762334546.jpg
Pantalon homme,"Guediawaye, Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5605460_uploaded_image1_1762280079.jpg
Tee-shirts,"Guediawaye, Dakar, Sénégal",3 500CFA,https://images.coinafrique.com/thumb_5605452_uploaded_image1_1762279838.jpg
Abaya homme bleu ciel,"Sicap Liberté, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5604148_uploaded_image1_1762219990.jpg
Fripperie - Vintage Milano,"Hann Bel-Air, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5599288_uploaded_image2_1761942499.jpeg
T-shirts en coton,"Dakar Plateau, Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg
Polo en coton,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5554258_uploaded_image1_1759400484.jpg
Djalabeh,"Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5577770_uploaded_image1_1760656538.jpg
Polo homme,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5563761_uploaded_image1_1759876759.jpg
Pantalon kaki,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5563760_uploaded_image1_1759876646.jpg
Ensemble kaki + polo,"Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5563767_uploaded_image1_1759876864.jpg
Jeans ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5568602_uploaded_image1_1760134872.jpg
T-shirt ,"Dakar, Sénégal",3 000CFA,https://images.coinafrique.com/thumb_5568202_uploaded_image1_1760117937.jpg
Pantalon bas large ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5567797_uploaded_image1_1760099504.jpg
Ensemble en lin,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5571613_uploaded_image1_1760357230.jpg
